"85 a","If N, clarify which questions the difference/s relate to and the branch/es that this applies to.",
"85 b","If appropriate, provide any additional information / context to the answers in this section.",
"10. SANCTIONS",,
86,"Does the Entity have a Sanctions Policy approved by management regarding compliance with sanctions law applicable to the Entity, including with respect its business conducted with, or through accounts held at foreign financial institutions?  ",
87,"Does the Entity have policies, procedures, or other controls reasonably designed to prevent the use of another entity’s accounts or services in a manner causing the other entity to violate sanctions prohibitions applicable to the other entity (including prohibitions within the other entity's local jurisdiction)?",
88,"Does the Entity have policies, procedures or other controls reasonably designed to prohibit and/or detect actions taken to evade applicable sanctions prohibitions, such as stripping, or the resubmission and/or masking, of sanctions relevant information in cross border transactions?",
89,"Does the Entity screen its customers, including beneficial ownership information collected by the Entity, during onboarding and regularly thereafter against Sanctions Lists? ",
90,"What is the method used by the Entity?",
"90 a","Manual ",
"90 b",Automated,
"90 c","Combination of Automated and Manual",
91,"Does the Entity screen all sanctions relevant data, including at a minimum, entity and location information, contained in cross border transactions against Sanctions Lists?",
92,"What is the method used by the Entity?",
"92 a","Manual ",
"92 b",Automated,
"92 c","Combination of Automated and Manual",
93,"Select the Sanctions Lists used by the Entity in its sanctions screening processes:",
"93 a","Consolidated United Nations Security Council Sanctions List (UN)",
"93 b","United States Department of the Treasury's Office of Foreign Assets Control (OFAC)",
"93 c","Office of Financial Sanctions Implementation HMT (OFSI) ",
"93 d","European Union Consolidated List (EU)",
"93 e","Lists maintained by other G7 member countries",
"93 f","Other (specify)",
94,"When new entities and natural persons are added to sanctions lists, how many business days before the Entity updates its lists?",
95,"When updates or additions to the Sanctions Lists are made, how many business days before the Entity updates their active manual and/or automated screening systems against:",
"95 a","Customer Data ",
"95 b","Transactions ",
96,"Does the Entity have a physical presence, e.g., branches, subsidiaries, or representative offices located in countries/regions against which UN, OFAC, OFSI, EU and G7 member countries have enacted comprehensive jurisdiction-based Sanctions?",
97,"Confirm that all responses provided in the above Section SANCTIONS are representative of all the LE's branches ",
"97 a","If N, clarify which questions the difference/s relate to and the branch/es that this applies to.",
"97 b","If appropriate, provide any additional information / context to the answers in this section.",
"11. TRAINING & EDUCATION",,
98,"Does the Entity provide mandatory training, which includes :",
"98 a","Identification and reporting of transactions to government authorities",
"98 b","Examples of different forms of money laundering, terrorist financing and sanctions violations relevant for the types of products and services offered",
"98 c","Internal policies for controlling money laundering, terrorist financing and sanctions violations",
"98 d","New issues that occur in the market, e.g., significant regulatory actions or new regulations",
"98 e","Conduct and Culture ",
99,"Is the above mandatory training provided to :",
"99 a","Board and Senior Committee Management",
"99 b","1st Line of Defence ",
"99 c","2nd Line of Defence ",
"99 d","3rd Line of Defence ",
"99 e","3rd parties to which specific FCC activities have been outsourced ",
"99 f","Non-employed workers (contractors/consultants)",
100,"Does the Entity provide AML, CTF & Sanctions training that is targeted to specific roles, responsibilities and high risk products, services and activities? ",
101,"Does the Entity provide customised training for AML, CTF and Sanctions staff?",
102,"Confirm that all responses provided in the above Section TRAINING & EDUCATION are representative of all the LE's branches ",
"102 a","If N, clarify which questions the difference/s relate to and the branch/es that this applies to.",
"102 b","If appropriate, provide any additional information / context to the answers in this section.",
"12. QUALITY ASSURANCE /COMPLIANCE TESTING",,
103,"Are the Entity's KYC processes and documents subject to quality assurance testing?",
104,"Does the Entity have a program wide risk based Compliance Testing process (separate to the independent Audit function)? ",
105,"Confirm that all responses provided in the above Section QUALITY ASSURANCE / COMPLIANCE TESTING are representative of all the LE's branches ",
"105 a","If N, clarify which questions the difference/s relate to and the branch/es that this applies to.",
"105 b","If appropriate, provide any additional information / context to the answers in this section.",
"13. AUDIT",,
106,"In addition to inspections by the government supervisors/regulators, does the Entity have an internal audit function, a testing function or other independent third party, or both, that assesses FCC AML, CTF and Sanctions policies and practices on a regular basis? ",
107,"How often is the Entity audited on its AML, CTF & Sanctions programme by the following:",
"107 a","Internal Audit Department ",
"107 b","External Third Party ",
108,"Does the internal audit function or other independent third party cover the following areas:",
"108 a","AML, CTF & Sanctions policy and procedures",
"108 b","KYC / CDD / EDD and underlying methodologies ",
"108 c","Transaction Monitoring",
"108 d","Transaction Screening including for sanctions",
"108 e","Name Screening & List Management",
"108 f","Training & Education",
"108 g","Technology ",
"108 h",Governance,
"108 i","Reporting/Metrics & Management Information",
"108 j","Suspicious Activity Filing",
"108 k","Enterprise Wide Risk Assessment",
"108 l","Other (specify)",
109,"Are adverse findings from internal & external audit tracked to completion and assessed for adequacy and completeness?",
110,"Confirm that all responses provided in the above section, AUDIT are representative of all the LE's branches ",
"110 a","If N, clarify which questions the difference/s relate to and the branch/es that this applies to.",
"110 b","If appropriate, provide any additional information / context to the answers in this section.",
"Declaration Statement

Wolfsberg Group Correspondent Banking Due Diligence Questionnaire 2018 (CBDDQ V1.2)
Declaration Statement (To be signed by Global Head of Correspondent Banking or equivalent position holder AND Group Money Laundering Prevention Officer, Global Head of Anti- Money Laundering, Chief Compliance Officer, Global Head of Financial Crimes Compliance OR equivalent)

_______________________________________________ (Bank name) is fully committed to the fight against financial crime and makes
every effort to remain in full compliance with all applicable financial crime laws, regulations and
standards in all of the jurisdictions in which it does business and holds accounts.

_______________________________________________  (Bank name) understands the critical importance of having effective and
sustainable controls to combat financial crime in order to protect its reputation and to meet its legal
and regulatory obligations.

_______________________________________________  (Bank name)recognises the importance of transparency regarding parties to
transactions in international payments and has adopted/is committed to adopting these standards.

_______________________________________________  (Bank name) further certifies it complies with/is working to comply with the
Wolfsberg Correspondent Banking Principles and the Wolfsberg Trade Finance Principles. The information provided in thisWolfsberg CBDDQ will be kept current and will be updated no less frequently than on an annual basis.

_______________________________________________ (Bank name) commits to file accurate supplemental information on a timely basis.


I, _______________________________________________  (Global Head of Correspondent Banking or equivalent), certify that I have read and
understood this declaration, that the answers provided in this Wolfsberg CBDDQ are complete and correct to my

honest belief, and that I am authorised to execute this declaration on behalf of _______________________________________________ (Bank name)

I,_______________________________________________  (MLRO or equivalent), certify that I have read and understood this
declaration, that the answers provided in thisWolfsberg CBDDQ are complete and correct to my honest

belief, and that I am authorised to execute this declaration on behalf of _______________________________________________ (Bank name)

_______________________________________________  (Signature & Date (DD/MM/YYYY) )


_______________________________________________  (Signature & Date (DD/MM/YYYY) )",,
